iter	Logloss
0	0.6264975817
1	0.5612199108
2	0.5195437349
3	0.4651448342
4	0.4361333655
5	0.4105965513
6	0.38818339
7	0.3603536838
8	0.3427933403
9	0.3277871233
10	0.309819288
11	0.2911379244
12	0.2706557653
13	0.253529768
14	0.2426565724
15	0.231856161
16	0.2209654492
17	0.2120031902
18	0.2072614668
19	0.1996144788
20	0.1897956711
21	0.1833938202
22	0.1767642214
23	0.1712544668
24	0.165617193
25	0.1614315712
26	0.156303313
27	0.1524275094
28	0.147850898
29	0.1438054073
30	0.1408693387
31	0.137591913
32	0.1345796199
33	0.1312169559
34	0.1300030056
35	0.126719422
36	0.1239905253
37	0.1216533901
38	0.1194166618
39	0.1166201781
40	0.116005058
41	0.112996621
42	0.1108465807
43	0.1079063065
44	0.1059352012
45	0.1040750988
46	0.1034450018
47	0.1026020639
48	0.1020394122
49	0.09995209345
50	0.09816674444
51	0.09698710321
52	0.09508831324
53	0.09399945786
54	0.09337893308
55	0.09208844585
56	0.09068953378
57	0.0896476339
58	0.08837171902
59	0.08720104261
60	0.08525583381
61	0.0847080434
62	0.08429082223
63	0.08244184366
64	0.08156708237
65	0.07986741375
66	0.07890301638
67	0.077434838
68	0.0771361971
69	0.0765817257
70	0.07614507975
71	0.07537012661
72	0.07430475609
73	0.07382749065
74	0.07286104779
75	0.07185255421
76	0.07040177158
77	0.06956516049
78	0.06892394046
79	0.0681003047
80	0.06664834452
81	0.0658628688
82	0.06510505822
83	0.06415631806
84	0.0636808143
85	0.06309083824
86	0.06258245345
87	0.0617884147
88	0.06075433066
89	0.05973650808
90	0.05926046766
91	0.05896001211
92	0.05838560528
93	0.05732815929
94	0.05671604736
95	0.05621656503
96	0.05510412733
97	0.05404646515
98	0.05338117583
99	0.05268191042
100	0.05208684881
101	0.05177922026
102	0.05131356475
103	0.05085008695
104	0.04990040625
105	0.04957252957
106	0.0493451886
107	0.04908102181
108	0.0484253189
109	0.04831313526
110	0.04787190907
111	0.04733944118
112	0.04668896539
113	0.04609792882
114	0.04580819183
115	0.04545526575
116	0.04481818674
117	0.04461098535
118	0.04438509253
119	0.04409790175
120	0.04346849297
121	0.04328041482
122	0.0425291968
123	0.0422874557
124	0.0417368992
125	0.04129942978
126	0.04053150009
127	0.04027860014
128	0.03965954808
129	0.03883362887
130	0.03831737365
131	0.03795532703
132	0.03764597144
133	0.03742368236
134	0.03650090051
135	0.03604415629
136	0.03583316755
137	0.03520230274
138	0.03499304235
139	0.034667273
140	0.03446434062
141	0.03418103875
142	0.03394805127
143	0.03372092883
144	0.03327531768
145	0.03302049098
146	0.03280241234
147	0.03250225859
148	0.03243323739
149	0.03233627329
150	0.03176389276
151	0.03154645905
152	0.031286899
153	0.03078694329
154	0.03018045571
155	0.02975154914
156	0.02947935585
157	0.02929315031
158	0.02874290599
159	0.02861664671
160	0.02844627407
161	0.02831203638
162	0.02802012835
163	0.02766668292
164	0.02758516447
165	0.02726873466
166	0.02694608071
167	0.02690301693
168	0.02679837679
169	0.02614540358
170	0.02603651132
171	0.02575867223
172	0.02550787327
173	0.02523001453
174	0.02509319773
175	0.02502195862
176	0.024943802
177	0.02482801703
178	0.02454124792
179	0.02424341005
180	0.02394201094
181	0.02382411402
182	0.02371580088
183	0.02335203611
184	0.02289087208
185	0.02283455938
186	0.02274607033
187	0.02263422136
188	0.02258328349
189	0.0221991153
190	0.0221687629
191	0.02212489585
192	0.02199668341
193	0.02195533061
194	0.02185304162
195	0.02149697786
196	0.02138092756
197	0.02122363426
198	0.0211946394
199	0.02091288729
